#Name	Accession	Description	Length	Related
CTD5	PF20281.1	C-terminal domain 5 of the ABC-three component (ABC-3C) systems	207	No
TrbH	PF07283.14	Conjugal transfer protein TrbH	126	No
TrbK	PF20084.2	Conjugative transfer region protein TrbK	109	No
Connexin40_C	PF16791.8	Connexin 40 C-terminal domain	106	No
Lin0512_fam	PF09585.13	Conserved hypothetical protein (Lin0512_fam)	114	No
CGLD27-like	PF06799.14	Conserved in the green lineage and diatoms 27	143	No
CTF_NFI	PF00859.21	CTF/NF-I family transcription modulation region	288	No
Cthe_2159	PF14262.9	Carbohydrate-binding domain-containing protein Cthe_2159	262	No
CTI	PF06934.14	Fatty acid cis/trans isomerase (CTI)	692	No
Nitr_red_assoc	PF09655.13	Conserved nitrate reductase-associated protein (Nitr_red_assoc)	144	No
GLTSCR1	PF15249.9	Conserved region of unknown function on GLTSCR protein	102	No
Cloacin_immun	PF03513.17	Cloacin immunity protein	80	No
Consortin_C	PF15281.9	Consortin C-terminus	113	No
Binary_toxB	PF03495.17	Clostridial binary toxin B/anthrax toxin PA Ca-binding domain	78	No
CTNNB1_binding	PF08347.14	N-terminal CTNNB1 binding	209	No
CTNNBL	PF08216.14	"Catenin-beta-like, Arm-motif containing nuclear"	475	No
Croc_4	PF17691.4	Contingent replication of cDNA 4	132	No
CTP_synth_N	PF06418.17	CTP synthase N-terminus	266	No
CTP_transf_1	PF01148.23	Cytidylyltransferase family	265	No
CTP_transf_3	PF02348.22	Cytidylyltransferase	221	No
CIS_spike_tip	PF19267.2	Contractile injection system spike tip protein	141	No
Com_YlbF	PF06133.14	"Control of competence regulator ComK, YlbF/YmcA"	105	No
ChW	PF07538.14	Clostridial hydrophobic W	35	No
Clp_N	PF02861.23	"Clp amino terminal domain, pathogenicity island component"	53	No
zf-C4_ClpX	PF06689.16	ClpX C4-type zinc finger	39	No
COPR5	PF15340.9	Cooperator of PRMT5 family	150	No
COPI_assoc	PF08507.13	COPI associated protein	130	No
CTV_P23	PF04808.15	Citrus tristeza virus (CTV) P23 protein	209	No
CTV_P33	PF07184.14	Citrus tristeza virus P33 protein	303	No
Clr5	PF14420.9	Clr5 domain	54	No
Cu_amine_oxidN3	PF02728.19	"Copper amine oxidase, N3 domain"	100	No
Cna_B	PF05738.16	Cna protein B-type domain	90	No
CT_A_B	PF02626.18	"Carboxyltransferase domain, subdomain A and B"	263	No
CT_C_D	PF02682.19	"Carboxyltransferase domain, subdomain C and D"	202	No
Cnl2_NKP2	PF09447.13	Cnl2/NKP2 family protein	65	No
CooT	PF10133.12	CO dehydrogenase accessory protein CooT	60	No
Cu-oxidase	PF00394.25	Multicopper oxidase	159	No
PCuAC	PF04314.16	Copper chaperone PCu(A)C	109	No
CopD	PF05425.16	Copper resistance protein D	105	No
Cu-oxidase_4	PF02578.18	Multi-copper polyphenol oxidoreductase laccase	236	No
Cu2_monooxygen	PF01082.23	"Copper type II ascorbate-dependent monooxygenase, N-terminal domain"	131	No
Cu2_monoox_C	PF03712.18	"Copper type II ascorbate-dependent monooxygenase, C-terminal domain"	157	No
Sod_Cu	PF00080.23	Copper/zinc superoxide dismutase (SODC)	133	No
Cor1	PF04803.15	Cor1/Xlr/Xmr conserved region	132	No
30K_MP_core	PF17644.4	Core domain of 30K viral movement proteins	138	No
Histone	PF00125.27	Core histone H2A/H2B/H3/H4	127	No
Cucumo_coat	PF00760.21	Cucumovirus coat protein	170	No
CoA_binding	PF02629.22	CoA binding domain	96	No
LSPR	PF06049.15	Coagulation Factor V LSPD Repeat	9	No
FXa_inhibition	PF14670.9	Coagulation Factor Xa inhibitory site	36	No
Cullin	PF00888.25	Cullin family	620	No
Cornichon	PF03311.17	Cornichon protein	122	No
Coat_F	PF07875.15	Coat F domain	63	No
Cornifin	PF02389.18	Cornifin (SPRR) family	135	No
Cupin_1	PF00190.25	Cupin	151	No
Co_AT_N	PF12557.11	Cob(I)alamin adenosyltransferase N terminal	26	No
CbiG_mid	PF11761.11	Cobalamin biosynthesis central region	84	No
Corona_NS12-7	PF04753.15	Coronavirus non-structural protein NS12.7 family	109	No
Cupin_6	PF12852.10	Cupin	184	No
CbiG_N	PF11760.11	Cobalamin synthesis G N-terminal	82	No
Cupin_8	PF13621.9	Cupin-like domain	254	No
Corona_7	PF02398.19	Coronavirus protein 7	101	No
CobW_C	PF07683.17	Cobalamin synthesis protein cobW C-terminal domain	94	No
CoV_NSP15_M	PF19216.3	"Coronavirus replicase NSP15, middle domain"	118	No
CbiN	PF02553.18	Cobalt transport protein component CbiN	67	No
CobS_N	PF12556.11	Cobaltochelatase CobS subunit N terminal	34	No
CART	PF06373.14	Cocaine and amphetamine regulated transcript protein (CART)	70	No
HscB_4_cys	PF18256.4	Co-chaperone HscB tetracysteine metal binding motif	27	No
CoV_NSP9	PF08710.13	Coronavirus replicase NSP9	111	No
Cut8	PF08559.13	"Cut8, nuclear proteasome tether protein"	244	No
HTH_CodY	PF08222.14	CodY helix-turn-helix domain	61	No
CutC	PF03932.17	CutC family	202	No
FrhB_FdhB_N	PF04422.16	"Coenzyme F420 hydrogenase/dehydrogenase, beta subunit N-term"	78	No
PqqD	PF05402.15	Coenzyme PQQ synthesis protein D (PqqD)	67	No
Cuticle_3	PF11018.11	Pupal cuticle protein C1	182	No
Coiled	PF05710.15	Coiled coil	91	No
Cutinase	PF01083.25	Cutinase	178	No
YadA_stalk	PF05662.17	Coiled stalk of trimeric autotransporter adhesin	43	No
Cu_amine_oxid	PF01179.23	"Copper amine oxidase, enzyme domain"	407	No
P66_CC	PF16563.8	Coiled-coil and interaction region of P66A and P66B with MBD2	44	No
CCDC92	PF14916.9	Coiled-coil domain of unknown function	57	No
CoV_NSP10	PF09401.13	Coronavirus RNA synthesis protein NSP10	122	No
Cu_bind_CorA	PF18252.4	Copper(I)-binding protein CorA	175	No
Ccdc124	PF06244.15	Coiled-coil domain-containing protein 124 /Oxs1	82	No
CCDC-167	PF15188.9	Coiled-coil domain-containing protein 167	84	No
Cortex-I_coil	PF09304.13	"Cortexillin I, coiled coil"	107	No
Rax2	PF12768.10	Cortical protein marker for cell polarity	148	No
DUF807	PF05660.14	Coxiella burnetii protein of unknown function (DUF807)	142	No
CCDC23	PF15674.8	Coiled-coil domain-containing protein 23	63	No
CPL	PF08144.14	CPL (NUC119) domain	143	No
CCDC28	PF13270.9	Coiled-coil domain-containing protein 28	88	No
Cwf_Cwc_15	PF04889.15	Cwf15/Cwc15 cell cycle control protein	247	No
CppA_C	PF14507.9	CppA C-terminal	102	No
APC_N_CC	PF16689.8	"Coiled-coil N-terminus of APC, dimerisation domain"	52	No
PKcGMP_CC	PF16808.8	Coiled-coil N-terminus of cGMP-dependent protein kinase	35	No
CSD2	PF17876.4	Cold shock domain	74	No
YdjO	PF14169.9	Cold-inducible protein YdjO	59	No
CppA_N	PF14506.9	CppA N-terminal	124	No
CpXC	PF14353.9	CpXC protein	118	No
CreA	PF05981.15	CreA protein	131	No
Creatinase_N	PF01321.21	Creatinase/Prolidase N-terminal domain	130	No
Creb_binding	PF09030.13	Creb binding	111	No
CSD	PF00313.25	'Cold-shock' DNA-binding domain	66	No
Colicin_D	PF11429.11	Colicin D	85	No
Microcin	PF03526.16	Colicin E1 (microcin) immunity protein	55	No
Colicin_E5	PF12106.11	Colicin E5 ribonuclease domain	88	No
Colicin_Ia	PF11504.11	Colicin Ia	72	No
Colicin_Pyocin	PF01320.21	Colicin immunity protein / pyocin immunity protein	82	No
CXXC_Zn-b_euk	PF05907.16	"CXXC motif containing zinc binding protein, eukaryotic"	155	No
ImmE5	PF11480.11	Colicin-E5 Imm protein	82	No
Crinkler	PF20147.2	Crinkler effector protein N-terminal domain	106	No
Cybc1_Eros	PF15169.9	Cytochrome b-245 chaperone 1 / Eros	184	No
Cas_Cas6_C	PF01881.19	"CRISPR associated protein Cas6, C-terminal"	124	No
CKI	PF17500.5	Colicin-K immunity	96	No
Colipase_C	PF02740.17	"Colipase, C-terminal domain"	44	No
CRISPR_Cas6_N	PF19308.2	CRISPR Cas6 N-terminal domain	148	No
Cas_APE2256	PF09651.13	CRISPR-associated protein (Cas_APE2256)	136	No
Cyclin	PF08613.14	Cyclin	161	No
Cas_Cmr5	PF09701.13	CRISPR-associated protein (Cas_Cmr5)	121	No
Cas_Csa5	PF09702.13	CRISPR-associated protein (Cas_Csa5)	102	No
Cyclin_D1_bind	PF12014.11	Cyclin D1 binding domain	153	No
Cmr2_N	PF12469.11	"CRISPR-associated protein Cmr2, N-terminal"	111	No
CRISPR_Cse2	PF09485.13	CRISPR-associated protein Cse2 (CRISPR_cse2)	138	No
CRISPR_Cas9_WED	PF18061.4	CRISPR-Cas9 WED domain	127	No
RuvC	PF02075.20	Crossover junction endodeoxyribonuclease RuvC	148	No
Colipase	PF01114.21	"Colipase, N-terminal domain"	40	No
Colipase-like	PF15083.9	Colipase-like	89	No
CYLD_phos_site	PF16607.8	"Phosphorylation region of CYLD, unstructured"	165	No
Fimbrial_CS1	PF04449.15	CS1 type fimbrial major subunit	134	No
CymA	PF16941.8	Putative cyclodextrin porin	341	No
CypI	PF06646.14	Extracytoplasmic thiamine-binding lipoprotein	331	No
Cypo_polyhedrin	PF05865.14	Cypovirus polyhedrin protein	248	No
CYRIA-B_Rac1-bd	PF07159.15	CYRIA/CYRIB Rac1 binding domain	301	No
CyRPA	PF18638.4	Cysteine-Rich Protective Antigen 6 bladed domain	315	No
Collagen_trimer	PF20010.2	Collagen trimerization domain	49	No
Collagen	PF01391.21	Collagen triple helix repeat (20 copies)	60	No
CFSR	PF19079.3	Collagen-flanked surface repeat	49	No
ComC	PF03047.17	COMC family	31	Yes
ComGG	PF14173.9	ComG operon protein 7	95	No
CssAB	PF16831.8	"CS6 fimbrial subunits A and B, Coli surface antigen 6"	129	No
COMM_domain	PF07258.17	COMM domain	64	No
Cys_Met_Meta_PP	PF01053.23	Cys/Met metabolism PLP-dependent enzyme	382	No
cEGF	PF12662.10	Complement Clr-like EGF-like	24	No
Complex1_LYR	PF05347.18	Complex 1 protein (LYR family)	59	No
UQCC2_CBP6	PF20180.1	Complex III assembly factor UQCC2/CBP6	90	No
Complex1_LYR_1	PF13232.9	Complex1_LYR-like	97	No
Complex1_LYR_2	PF13233.9	Complex1_LYR-like	82	No
ComZ	PF10815.11	ComZ	55	No
Toxin_36	PF10550.12	Conantokin toxin	17	No
Cytadhesin_P30	PF07271.14	Cytadhesin P30/P32	275	No
CYTH	PF01928.24	CYTH domain	179	No
Cytidylate_kin	PF02224.21	Cytidylate kinase	211	No
Cytidylate_kin2	PF13189.9	Cytidylate kinase-like family	178	No
Csd3_N2	PF19425.2	Csd3 second domain	122	No
CytochromB561_N	PF09786.12	"Cytochrome B561, N terminal"	570	No
Cytochrome-c551	PF10643.12	Photosystem P840 reaction-centre cytochrome c-551	213	No
Cytochrome_B	PF00033.22	Cytochrome b/b6/petB	189	No
Con-6	PF10346.12	Conidiation protein 6	34	No
TraD	PF06412.14	Conjugal transfer protein TraD	61	No
Cytochrome_cB	PF11783.11	Cytochrome c bacterial	175	No
TrbE	PF11100.11	Conjugal transfer protein TrbE	66	No
Csm2_III-A	PF03750.16	Csm2 Type III-A	115	No
Cytochrom_B558a	PF05038.16	Cytochrome Cytochrome b558 alpha-subunit	184	No
TraL_transposon	PF13150.9	Conjugative transposon protein TraL	86	No
CRIC_ras_sig	PF10534.12	Connector enhancer of kinase suppressor of ras	93	No
CSN8_PSD8_EIF3K	PF10075.12	CSN8/PSMD8/EIF3K family	144	No
CTK3	PF12243.11	CTD kinase subunit gamma CTK3	123	No
AAA_assoc_C	PF09821.12	C-terminal AAA-associated domain	119	No
Cytochrom_B_N_2	PF13631.9	Cytochrome b(N-terminal)/b6/petB	169	No
Conotoxin	PF02950.20	Conotoxin	75	No
Cytochrom_C1	PF02167.18	Cytochrome C1 family	219	No
Toxin_19	PF08088.15	Conotoxin I-superfamily	40	No
TOPRIM_C	PF16898.8	C-terminal associated domain of TOPRIM	128	No
Cytochrom_C552	PF02335.18	Cytochrome c552	439	No
CBM_26	PF16824.8	C-terminal carbohydrate-binding module	125	No
CTD10	PF20275.1	C-terminal domain 10 of the ABC-three component (ABC-3C) systems	132	No
Cytochrom_C_asm	PF01578.23	Cytochrome C assembly protein	214	No
Cytochrom_D1	PF02239.19	Cytochrome D1 heme domain	368	No
Cytochrom_NNT	PF03264.17	"NapC/NirT cytochrome c family, N-terminal region"	174	No
CytoC_RC	PF02276.21	Photosynthetic reaction centre cytochrome C subunit	311	No
Cytokin-bind	PF09265.13	"Cytokinin dehydrogenase 1, FAD and cytokinin binding"	281	No
Toxin_18	PF08087.14	Conotoxin O-superfamily	31	No
Cytomega_gL	PF01801.19	Cytomegalovirus glycoprotein L	211	No
CTD11	PF20277.1	C-terminal domain 11 of the ABC-three component (ABC-3C) systems	140	No
CTD12	PF20279.1	C-terminal domain 12 of the ABC-three component (ABC-3C) systems	144	No
Cytomega_UL84	PF06284.14	Cytomegalovirus UL84 protein	586	No
Cytomega_US3	PF05963.14	Cytomegalovirus US3 protein	185	No
Toxin_26	PF08097.14	Conotoxin T-superfamily	11	No
Cyto_heme_lyase	PF01265.20	Cytochrome c/c1 heme lyase	298	No
Toxin_24	PF08094.14	Conotoxin TVIIA/GS family	33	No
Cyt_bd_oxida_I	PF01654.20	Cytochrome bd terminal oxidase subunit I	419	No
Cyt_bd_oxida_II	PF02322.18	Cytochrome bd terminal oxidase subunit II	303	No
CTD6	PF20282.1	C-terminal domain 6 of the ABC-three component (ABC-3C) systems	130	No
CTD7	PF20283.1	C-terminal domain 7 of the ABC-three component (ABC-3C) systems	126	No
Phg_2220_C	PF09524.13	Conserved phage C-terminus (Phg_2220_C)	73	No
Rad21_Rec8	PF04824.19	Conserved region of Rad21 / Rec8 like protein	55	No
CTD8	PF20284.1	C-terminal domain 8 of the ABC-three component (ABC-3C) systems	127	No
C_Hendra	PF16821.8	C protein from hendra and measles viruses	153	No
C_LFY_FLO	PF17538.5	DNA Binding Domain (C-terminal) Leafy/Floricaula	169	No
TM_helix	PF05552.15	Conserved TM helix	50	No
CTD9	PF20285.1	C-terminal domain 9 of the ABC-three component (ABC-3C) systems	113	No
CdiA_C	PF18451.4	Contact-dependent growth inhibition CdiA C-terminal domain	81	No
D123	PF07065.17	D123	306	No
CSN7a_helixI	PF18392.4	COP9 signalosome complex subunit 7a helix I domain	50	No
D5_N	PF08706.14	D5 N terminal like	151	No
DA1-like	PF12315.11	Protein DA1	215	No
DAAD	PF18752.4	Dictyosteliid AID/APOBEC-like Deaminase	291	No
DAAP1	PF15773.8	Dynein axonemal-associated protein 1	505	No
DabA	PF10070.12	Probable inorganic carbon transporter subunit DabA	760	No
CSN5_C	PF18323.4	Cop9 signalosome subunit 5 C-terminal domain	89	No
DAO_C	PF16901.8	C-terminal domain of alpha-glycerophosphate oxidase	126	No
CNP_C_terminal	PF17839.4	C-terminal domain of cyclic nucleotide phosphodiesterase	108	No
Peptidase_M99_C	PF17129.7	C-terminal domain of metallo-carboxypeptidase	100	No
DAG1	PF05454.14	Dystroglycan (Dystrophin-associated glycoprotein 1)	290	No
DAGAT	PF03982.16	Diacylglycerol acyltransferase	297	No
DAGK_acc	PF00609.22	Diacylglycerol kinase accessory domain	160	No
RIG-I_C-RD	PF11648.11	C-terminal domain of RIG-I	117	No
ECSIT_C	PF14784.9	C-terminal domain of the ECSIT protein	129	No
DAG_kinase_N	PF14513.9	Diacylglycerol kinase N-terminus	166	No
DAHL	PF19443.2	DAHL domain	222	No
CopC	PF04234.15	CopC domain	92	No
DAHP_synth_1	PF00793.23	DAHP synthetase I family	275	No
DAHP_synth_2	PF01474.19	Class-II DAHP synthetase family	437	No
Dak1	PF02733.20	Dak1 domain	311	No
Dak1_2	PF13684.9	Dihydroxyacetone kinase family	313	No
Dak2	PF02734.20	DAK2 domain	175	No
Dala_Dala_lig_C	PF07478.16	D-ala D-ala ligase C-terminus	204	No
Na_Ca_ex_C	PF16494.8	C-terminal extension of sodium/calcium exchanger domain	134	No
GH43_C	PF16369.8	C-terminal lipocalin-like domain	105	No
CopG_antitoxin	PF12441.11	CopG antitoxin of type II toxin-antitoxin system	79	No
Dam	PF05869.14	DNA N-6-adenine-methyltransferase (Dam)	169	No
Sulfatase_C	PF14707.9	C-terminal region of aryl-sulfatase	124	No
DAO	PF01266.27	FAD dependent oxidoreductase	353	No
RHH_5	PF07878.14	"CopG-like RHH_1 or ribbon-helix-helix domain, RHH_5"	43	No
MMR_HSR1_Xtn	PF16897.8	C-terminal region of MMR_HSR1 domain	106	No
Cu_amine_oxidN1	PF07833.14	Copper amine oxidase N-terminal domain	94	No
Cu_amine_oxidN2	PF02727.19	"Copper amine oxidase, N2 domain"	87	No
DAP3	PF10236.12	Mitochondrial ribosomal death-associated protein 3	311	No
C4	PF01413.22	C-terminal tandem repeated domain in type 4 procollagen	111	No
RGS12_usC	PF16612.8	C-terminal unstructured region of RGS12	146	No
DAPDH_C	PF16654.8	Diaminopimelic acid dehydrogenase C-terminal domain	154	No
DAPG_hydrolase	PF18089.4	DAPG hydrolase PhiG domain	224	No
Prion_octapep	PF03991.15	Copper binding octapeptide repeat	8	No
Dapper	PF15268.9	Dapper	807	No
DAP_B	PF07930.15	"D-aminopeptidase, domain B"	182	No
DAP_DH_C	PF19328.2	"2,4-diaminopentanoate dehydrogenase C-terminal domain"	206	No
Ctf8	PF09696.13	Ctf8	144	No
CusF_Ec	PF11604.11	Copper binding periplasmic protein CusF	68	No
CTLH	PF10607.12	CTLH/CRA C-terminal to LisH motif domain	150	No
Ctr	PF04145.18	Ctr copper transporter family	150	No
DARPP-32	PF05395.15	Protein phosphatase inhibitor 1/DARPP-32	160	No
DarT	PF14487.9	"ssDNA thymidine ADP-ribosyltransferase, DarT"	201	No
Copper-bind	PF00127.23	"Copper binding proteins, plastocyanin/azurin family"	99	No
Copper-fist	PF00649.21	Copper fist DNA binding domain	39	No
CopK	PF11525.11	Copper resistance protein K	70	No
ScsC_N	PF18312.4	Copper resistance protein ScsC N-terminal domain	34	No
APP_Cu_bd	PF12924.10	"Copper-binding of amyloid precursor, CuBD"	57	No
COQ9	PF08511.14	COQ9	77	No
Cobl	PF09469.13	Cordon-bleu ubiquitin-like domain	92	No
Corona_5a	PF06336.14	Coronavirus 5a protein	64	No
DASH_Spc19	PF08287.14	Spc19	155	No
DASH_Spc34	PF08657.13	DASH complex subunit Spc34	255	No
Corona_NS1	PF06145.14	Coronavirus nonstructural protein NS1	29	No
Corona_NS4	PF03905.16	Coronavirus non-structural protein NS4	45	No
Corona_3	PF04694.15	Coronavirus ORF3 protein	59	No
Lys	PF00062.23	C-type lysozyme/alpha-lactalbumin family	123	No
CoV_NSP15_N	PF19219.3	"Coronavirus replicase NSP15, N-terminal oligomerisation"	61	No
CUB	PF00431.23	CUB domain	110	No
CUB_2	PF02408.23	CUB-like domain	120	No
CoV_NSP4_C	PF16348.8	"Coronavirus replicase NSP4, C-terminal"	96	No
CoV_NSP7	PF08716.13	Coronavirus replicase NSP7	83	No
CoV_E	PF02723.17	Coronavirus small envelope protein E	75	No
Cucumopine_C	PF18631.4	Cucumopine synthase C-terminal helical bundle domain	141	No
DBI_PRT	PF02277.20	Phosphoribosyltransferase	329	No
Dbl7	PF20496.1	Double strand break localizing Dbl7	268	No
DBP	PF12361.11	Duffy-antigen binding protein	304	No
CoV_S1_C	PF19209.3	"Coronavirus spike glycoprotein S1, C-terminal"	58	No
CoV_S2_C	PF19214.3	"Coronavirus spike glycoprotein S2, intravirion"	42	No
Cortexin	PF11057.11	Cortexin of kidney	76	No
Cucumo_2B	PF03263.16	Cucumovirus protein 2B	105	No
DB_JBP1	PF18526.4	Thymine dioxygenase JBP1 DNA-binding domain	164	No
DCA16	PF15349.9	DDB1- and CUL4-associated factor 16	216	No
dCache_1	PF02743.21	Cache domain	241	No
dCache_2	PF08269.14	Cache domain	296	No
dCache_3	PF14827.9	Double sensory domain of two-component sensor kinase	238	No
DCAF15_WD40	PF14939.9	"DDB1-and CUL4-substrate receptor 15, WD repeat"	215	No
DCAF17	PF15802.8	DDB1- and CUL4-associated factor 17	474	No
DcaP	PF19577.2	DcaP outer membrane protein	410	No
DCB	PF16213.8	Dimerisation and cyclophilin-binding domain of Mon2	176	No
Dcc1	PF09724.12	Sister chromatid cohesion protein Dcc1	336	No
Cullin_binding	PF03556.18	Cullin binding	120	No
DCD	PF06559.14	2'-deoxycytidine 5'-triphosphate deaminase (DCD)	361	No
ACTH_domain	PF00976.21	Corticotropin ACTH domain	19	No
Cupin_5	PF06172.14	Cupin superfamily (DUF985)	141	No
Cupredoxin_1	PF13473.9	Cupredoxin-like domain	104	No
CsgE	PF10627.12	Curli assembly protein CsgE	105	No
CRF	PF00473.20	Corticotropin-releasing factor family	38	No
Curto_V2	PF07325.14	Curtovirus V2 protein	126	No
Cut12	PF11500.11	Cut12 conserved domain	146	No
Costars	PF14705.9	Costars	76	No
CVNH	PF08881.13	CVNH domain	101	No
DctA-YdbH	PF11739.11	Dicarboxylate transport	207	No
DctM	PF06808.15	"Tripartite ATP-independent periplasmic transporter, DctM component"	416	No
DctP	PF03480.16	"Bacterial extracellular solute-binding protein, family 7"	286	No
cwf18	PF08315.15	cwf18 pre-mRNA splicing factor	139	No
DcuA_DcuB	PF03605.17	Anaerobic c4-dicarboxylate membrane transporter	368	No
DcuC	PF03606.18	C4-dicarboxylate anaerobic carrier	461	No
CotJB	PF12652.10	CotJB protein	76	No
DC_STAMP	PF07782.16	DC-STAMP-like protein	191	No
DUF761	PF05553.14	Cotton fibre expressed protein	36	No
DDAH_eukar	PF19420.2	"N,N dimethylarginine dimethylhydrolase, eukaryotic"	291	No
CxC1	PF18802.4	CxC1 like cysteine cluster associated with KDZ transposases	105	No
COX_ARM	PF06481.17	COX Aromatic Rich Motif	46	No
CP12	PF02672.18	CP12 domain	70	No
DDE_1	PF03184.22	DDE superfamily endonuclease	175	No
DDE_2	PF02914.18	Bacteriophage Mu transposase	219	No
CxC2	PF18803.4	CxC2 like cysteine cluster associated with KDZ transposases	107	No
DDE_5	PF13546.9	DDE superfamily endonuclease	273	No
DDE_Tnp_1	PF01609.24	Transposase DDE domain	214	No
CpcD	PF01383.24	CpcD/allophycocyanin linker domain	55	No
DDE_Tnp_1_3	PF13612.9	Transposase DDE domain	155	No
DDE_Tnp_1_4	PF13701.9	Transposase DDE domain group 1	434	No
CxC3	PF18804.4	CxC3 like cysteine cluster associated with KDZ transposases	113	No
CxC4	PF18717.4	CxC4 like cysteine cluster associated with KDZ transposases	130	No
DDE_Tnp_1_7	PF13843.9	Transposase IS4	350	No
CRAL_TRIO_N	PF03765.18	"CRAL/TRIO, N-terminal domain"	54	No
DDE_Tnp_2	PF04693.15	Archaeal putative transposase ISC1217	327	No
DDE_Tnp_4	PF13359.9	DDE superfamily endonuclease	158	No
CxC5	PF18718.4	CxC5 like cysteine cluster associated with KDZ transposases	117	No
DDE_Tnp_IS1595	PF12762.10	ISXO2-like transposase domain	154	No
NdhM	PF10664.12	Cyanobacterial and plastid NDH-1 subunit M	107	No
DDE_Tnp_IS66	PF03050.17	Transposase IS66 family	281	No
CRCB	PF02537.18	"CrcB-like protein, Camphor Resistance (CrcB)"	93	No
DDE_Tnp_ISAZ013	PF07592.14	Rhodopirellula transposase DDE domain	308	No
DDE_Tnp_ISL3	PF01610.20	Transposase	240	No
DDE_Tnp_Tn3	PF01526.20	Tn3 transposase DDE domain	389	No
DDHD	PF02862.20	DDHD domain	254	No
DDOST_48kD	PF03345.17	Oligosaccharyltransferase 48 kDa subunit beta	404	No
DDR	PF08841.13	Diol dehydratase reactivase ATPase-like domain	328	No
Cyanophycin_syn	PF18921.3	Cyanophycin synthase-like N-terminal domain	115	No
CybS	PF05328.15	"CybS, succinate dehydrogenase cytochrome B small subunit"	133	No
DDRGK	PF09756.12	DDRGK domain	188	No
DDR_swiveling	PF18427.4	DD-reactivating factor swiveling domain	162	No
RING_CBP-p300	PF06001.16	"CREB-binding protein/p300, atypical RING domain"	40	No
Dicistro_VP4	PF11492.11	"Cricket paralysis virus, VP4"	57	No
DEAD	PF00270.32	DEAD/DEAH box helicase	176	No
DEAD_2	PF06733.18	DEAD_2	175	No
DEAD_assoc	PF08494.14	DEAD/H associated	191	No
CFC	PF09443.13	Cripto_Frl-1_Cryptic (CFC)	35	No
Crisp	PF08562.13	Crisp	55	No
CIF	PF16374.8	Cycle inhibiting factor (CIF)	136	No
CRISPR_Cas2	PF09827.12	CRISPR associated protein Cas2	76	No
CdAMP_rec	PF06153.14	Cyclic-di-AMP receptor	109	No
DEC-1_N	PF04625.16	"DEC-1 protein, N-terminal region"	403	No
Csm4_C	PF17953.4	CRISPR Csm4 C-terminal domain	91	No
Cyclin_C_2	PF16899.8	Cyclin C-terminal domain	107	No
Cas9_b_hairpin	PF17893.4	CRISPR-associated endonuclease Cas9 beta-hairpin domain	90	No
DEDD_Tnp_IS110	PF01548.20	Transposase	155	No
CRISPR_Cas6	PF10040.12	CRISPR-associated endoribonuclease Cas6	86	No
Cas_Cas2CT1978	PF09707.13	CRISPR-associated protein (Cas_Cas2CT1978)	86	No
Cas_csx3	PF09620.13	CRISPR-associated protein (Cas_csx3)	78	No
Cas_CXXC_CXXC	PF09706.13	CRISPR-associated protein (Cas_CXXC_CXXC)	69	No
Cas9_PI2	PF18070.4	CRISPR-Cas9 PI domain	59	No
CRM1_repeat_2	PF18784.4	CRM1 / Exportin repeat 2	68	No
CRM1_repeat_3	PF18787.4	CRM1 / Exportin repeat 3	51	No
Cro	PF09048.13	Cro	59	No
HTH_26	PF13443.9	Cro/C1-type HTH DNA-binding domain	63	No
HTH_Crp_2	PF13545.9	Crp-like helix-turn-helix domain	68	No
CRS1_YhbY	PF01985.24	CRS1 / YhbY (CRM) domain	84	No
Crust_neurohorm	PF01147.20	Crustacean CHH/MIH/GIH neurohormone family	67	No
Cuticle_1	PF08140.14	Crustacean cuticle protein repeat	40	No
Crust_neuro_H	PF03858.16	Crustacean neurohormone H	41	No
HTH_49	PF18010.4	Cry35Ab1 HTH C-terminal domain	29	No
DegS	PF05384.14	Sensor protein DegS	159	No
DegT_DnrJ_EryC1	PF01041.20	DegT/DnrJ/EryC1/StrS aminotransferase family	360	No
DegV	PF02645.19	"Uncharacterised protein, DegV family COG1307"	280	No
Dehalogenase	PF13486.9	Reductive dehalogenase subunit	288	No
Cyclin_C	PF02984.22	"Cyclin, C-terminal domain"	119	No
Dehyd-heme_bind	PF09098.13	"Quinohemoprotein amine dehydrogenase A, alpha subunit, haem binding"	167	No
Dehydratase_hem	PF13816.9	Haem-containing dehydratase	310	No
Dehydratase_LU	PF02286.18	Dehydratase large subunit	552	No
Cyclin_N	PF00134.26	"Cyclin, N-terminal domain"	127	No
Cyclin_N2	PF16500.8	Cyclin-A N-terminal APC/C binding region	117	No
Dehydrin	PF00257.22	Dehydrin	174	No
CS	PF04969.19	CS domain	77	No
CooC_C	PF15976.8	CS1-pili formation C-terminal	93	No
CsbD	PF05532.15	CsbD-like	53	No
Csd3_N	PF18059.4	Csd3 N-terminal	83	No
c-SKI_SMAD_bind	PF08782.13	c-SKI Smad4 binding domain	94	No
Dendrin	PF15498.9	"Nephrin and CD2AP-binding protein, Dendrin"	656	No
DENN	PF02141.24	DENN (AEX-3) domain	186	No
DENND11	PF09804.12	DENN domain-containing protein 11	282	No
Denso_VP4	PF02336.18	Capsid protein VP4	431	No
DeoC	PF01791.12	DeoC/LacD family aldolase	231	No
DeoRC	PF00455.25	DeoR C terminal sensor domain	160	No
zf-CSL	PF05207.16	CSL zinc finger	59	No
DEPDC5_CTD	PF19418.2	DEPDC5 protein C-terminal region	308	No
