#Name	Accession	Description	Length	Related
cas_csx3	TIGR02579.1	CRISPR-associated ring nuclease Crn3/Csx3	83	No
cas_RAMP_Cmr4	TIGR02580.1	type III-B CRISPR module RAMP protein Cmr4	283	No
cas_cyan_RAMP	TIGR02581.1	CRISPR-associated RAMP protein Csx7	216	No
cas7_TM1809	TIGR02582.1	type III-A CRISPR-associated RAMP protein Csm3	203	No
cas_Cst2_DevR	TIGR02585.1	type I-B CRISPR-associated protein Cas7/Cst2/DevR	321	No
cas_Csd2	TIGR02589.1	type I-C CRISPR-associated protein Cas7/Csd2	284	No
cas_Csh2	TIGR02590.1	type I-B CRISPR-associated protein Cas7/Csh2	286	No
cas_Csh1	TIGR02591.1	type I-B CRISPR-associated protein Cas8b/Csh1	395	No
cas_Cas5h	TIGR02592.1	type I-B CRISPR-associated protein Cas5b	241	No
CRISPR_cas5	TIGR02593.1	CRISPR-associated protein Cas5	43	No
8TM_EpsH	TIGR02602.1	exosortase	241	No
Piru_Ver_Nterm	TIGR02604.1	putative membrane-bound dehydrogenase domain (Provisional)	367	No
CxxC_CxxC_SSSS	TIGR02605.1	putative regulatory protein, FmdB family (Provisional)	52	No
delta_60_rpt	TIGR02608.1	delta-60 repeat domain (Provisional)	55	No
TIGR02619	TIGR02619.1	putative CRISPR-associated protein	149	No
cas_VVA1548	TIGR02620.1	CRISPR-associated protein Csx16	93	No
CDP_4_6_dhtase	TIGR02622.1	CDP-glucose 4,6-dehydratase	352	No
G1P_cyt_trans	TIGR02623.1	glucose-1-phosphate cytidylyltransferase	255	No
xylose_isom_A	TIGR02630.1	xylose isomerase	435	No
gas_vesic_GvpN	TIGR02640.1	gas vesicle protein GvpN	262	No
ARCH_P_rylase	TIGR02645.1	putative thymidine phosphorylase (Provisional)	493	No
TIGR02646	TIGR02646.1	TIGR02646 family protein	144	No
RNase_Z	TIGR02651.1	ribonuclease Z	302	No
Lon_rel_chp	TIGR02653.1	protease Lon-related BREX system protein BrxL	675	No
nifV_homocitr	TIGR02660.1	homocitrate synthase	365	No
moaA	TIGR02666.1	GTP 3',8-cyclase MoaA	336	No
cas_csx11	TIGR02682.1	CRISPR-associated protein Csx11	1007	No
dnstrm_HI1420	TIGR02684.1	putative addiction module antidote protein	89	No
TIGR02687	TIGR02687.1	BREX-1 system phosphatase PglZ type A	844	No
TIGR02688	TIGR02688.1	BREX system Lon protease-like protein BrxL	449	No
arsenite_ox_L	TIGR02693.1	arsenate reductase (azurin) large subunit	806	No
arsenite_ox_S	TIGR02694.1	arsenate reductase (azurin) small subunit	129	No
archaeo_AfpA	TIGR02699.1	archaeoflavoprotein AfpA	174	No
TIGR02710	TIGR02710.1	TIGR02710 family CRISPR-associated CARF protein	384	No
allophanate_hyd	TIGR02713.1	allophanate hydrolase	563	No
AcCoA-syn-alpha	TIGR02717.1	acetyl coenzyme A synthetase (ADP forming), alpha domain (Provisional)	447	No
phenyl_P_beta	TIGR02724.1	phenylphosphate carboxylase subunit beta	472	No
MTHFS_bact	TIGR02727.1	5-formyltetrahydrofolate cyclo-ligase	182	No
crtI_fam	TIGR02734.1	phytoene desaturase family protein	504	No
PEPCase_arch	TIGR02751.1	phosphoenolpyruvate carboxylase	506	No
crypto_DASH	TIGR02765.1	DASH family cryptochrome	431	No
Ku_bact	TIGR02772.1	Ku protein	259	No
NHEJ_ligase_prk	TIGR02776.1	DNA ligase D	587	No
LigD_PE_dom	TIGR02777.1	DNA ligase D, 3'-phosphoesterase domain (Provisional)	156	No
ligD_pol	TIGR02778.1	non-homologous end-joining DNA ligase	245	No
NHEJ_ligase_lig	TIGR02779.1	non-homologous end-joining DNA ligase	302	No
adh_fam_2	TIGR02822.1	zinc-binding alcohol dehydrogenase family protein	329	No
quinone_pig3	TIGR02824.1	putative NAD(P)H quinone oxidoreductase, PIG3 family (Provisional)	325	No
CoxB	TIGR02866.1	cytochrome c oxidase subunit II	202	No
CydC	TIGR02868.1	thiol reductant ABC exporter subunit CydC	530	No
CtaD_CoxA	TIGR02891.1	cytochrome c oxidase subunit I	504	No
HAF_rpt	TIGR02913.1	HAF repeat protein	39	No
AhaH	TIGR02926.1	ATP synthase archaeal subunit H	85	No
TIGR02928	TIGR02928.1	orc1/cdc6 family replication initiation protein (Provisional)	366	No
anfG_nitrog	TIGR02929.1	Fe-only nitrogenase subunit delta	109	No
vnfG_nitrog	TIGR02930.1	V-containing nitrogenase subunit delta	109	No
anfK_nitrog	TIGR02931.1	Fe-only nitrogenase subunit beta	461	No
vnfK_nitrog	TIGR02932.1	V-containing nitrogenase subunit beta	457	No
anfO_nitrog	TIGR02940.1	Fe-only nitrogenase accessory protein AnfO	214	No
hdxy_isourate	TIGR02962.1	hydroxyisourate hydrolase	113	No
succ_dehyd_cytB	TIGR02970.1	succinate dehydrogenase, cytochrome b556 subunit	120	No
pepcterm_polyde	TIGR03006.1	polysaccharide deacetylase family protein, PEP-CTERM locus subfamily (Provisional)	272	No
sulf_tusB_dsrH	TIGR03011.1	sulfurtransferase complex subunit TusB	95	No
pepcterm_femAB	TIGR03019.1	FemAB family PEP-CTERM system-associated protein	330	No
WcaJ_sugtrans	TIGR03023.1	undecaprenyl-phosphate glucose phosphotransferase	453	No
EPS_sugtrans	TIGR03025.1	exopolysaccharide biosynthesis polyprenyl glycosylphosphotransferase	445	No
NDP-sugDHase	TIGR03026.1	nucleotide sugar dehydrogenase	413	No
xxxLxxG_by_4	TIGR03057.1	X-X-X-Leu-X-X-Gly heptad repeat protein	28	No
pip_yhgE_Nterm	TIGR03061.1	YhgE/Pip family protein	164	No
pip_yhgE_Cterm	TIGR03062.1	YhgE/Pip family protein	208	No
couple_hipA	TIGR03071.1	HipA N-terminal domain (Provisional)	101	No
metmalonyl_epim	TIGR03081.1	methylmalonyl-CoA epimerase	129	No
rusti_cyanin	TIGR03095.1	rusticyanin	148	No
halo_cynanin	TIGR03102.1	halocyanin domain-containing protein	115	No
gln_synth_III	TIGR03105.1	type III glutamate--ammonia ligase	435	No
one_C_fhcD	TIGR03119.1	formylmethanofuran--tetrahydromethanopterin N-formyltransferase	288	No
one_C_mch	TIGR03120.1	methenyltetrahydromethanopterin cyclohydrolase	313	No
one_C_dehyd_A	TIGR03121.1	formylmethanofuran dehydrogenase subunit A	556	No
one_C_dehyd_C	TIGR03122.1	formylmethanofuran dehydrogenase subunit C	260	No
one_C_unchar_1	TIGR03123.1	probable H4MPT-linked C1 transfer pathway protein (Provisional)	327	No
one_C_fae	TIGR03126.1	formaldehyde-activating enzyme	160	No
RuMP_HxlB	TIGR03127.1	6-phospho-3-hexuloisomerase	179	No
RuMP_HxlA	TIGR03128.1	3-hexulose-6-phosphate synthase	206	No
one_C_dehyd_B	TIGR03129.1	formylmethanofuran dehydrogenase subunit B	421	No
QueF-II	TIGR03139.1	preQ(1) synthase	115	No
cytochr_NrfH	TIGR03153.1	cytochrome c nitrite reductase small subunit	138	No
GTP_HflX	TIGR03156.1	GTPase HflX	351	No
cas_Csc2	TIGR03157.1	type I-D CRISPR-associated protein Cas7/Csc2	282	No
cas3_cyano	TIGR03158.1	type I-D CRISPR-associated helicase Cas3'	357	No
cas_Csc1	TIGR03159.1	type I-D CRISPR-associated protein Cas5/Csc1	225	No
cobT_DBIPRT	TIGR03160.1	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	334	No
UHCUDC	TIGR03164.1	2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase	157	No
F1F0_chp_2	TIGR03165.1	F1/F0 ATPase, Methanosarcina type, subunit 2 (Provisional)	83	No
alt_F1F0_F1_eps	TIGR03166.1	alternate F1F0 ATPase, F1 subunit epsilon (Provisional)	122	No
1-PFK	TIGR03168.1	hexose kinase	305	No
TIGR03172	TIGR03172.2	selenium cofactor biosynthesis protein YqeC	209	No
pbuX	TIGR03173.1	xanthine permease (Provisional)	407	No
cas_Csc3	TIGR03174.1	type I-D CRISPR-associated protein Cas10d/Csc3	946	No
allantoinase	TIGR03178.1	allantoinase AllB	441	No
PDH_E1_alph_x	TIGR03181.1	pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha	341	No
DNA_S_dndC	TIGR03183.1	DNA phosphorothioation system sulfurtransferase DndC	447	No
DNA_S_dndE	TIGR03184.1	DNA sulfur modification protein DndE	104	No
DNA_S_dndD	TIGR03185.1	DNA sulfur modification protein DndD	650	No
DGQHR	TIGR03187.1	DGQHR domain-containing protein	276	No
histidine_hisI	TIGR03188.1	phosphoribosyl-ATP diphosphatase	84	No
benz_CoA_bzdO	TIGR03191.1	benzoyl-CoA reductase, bzd-type, subunit O	430	No
benz_CoA_bzdQ	TIGR03192.1	benzoyl-CoA reductase, bzd-type, subunit Q	293	No
catechol_2_3	TIGR03211.1	catechol 2,3-dioxygenase	303	No
ac_ald_DH_ac	TIGR03215.1	acetaldehyde dehydrogenase (acetylating)	285	No
4OH_2_O_val_ald	TIGR03217.1	4-hydroxy-2-oxovalerate aldolase	334	No
DNA_S_dndB	TIGR03233.1	DNA sulfur modification protein DndB	355	No
dnd_assoc_1	TIGR03236.1	DNA phosphorothioation-dependent restriction protein DptG	363	No
dnd_assoc_2	TIGR03237.1	DNA phosphorothioation-dependent restriction protein DptH	1256	No
dnd_assoc_3	TIGR03238.1	DNA phosphorothioation-dependent restriction protein DptF	504	No
LAT_fam	TIGR03251.1	L-lysine 6-transaminase	433	No
thym_sym	TIGR03284.1	thymidylate synthase	296	No
methan_mark_16	TIGR03287.1	methanogenesis marker 16 metalloprotein	391	No
PhnH_redo	TIGR03292.1	phosphonate C-P lyase system protein PhnH	184	No
PhnG_redo	TIGR03293.1	phosphonate C-P lyase system protein PhnG	144	No
FrhG	TIGR03294.1	coenzyme F420 hydrogenase subunit gamma	228	No
M6dom_TIGR03296	TIGR03296.1	M6 family metalloprotease domain-containing protein	286	No
Ppyr-DeCO2ase	TIGR03297.1	phosphonopyruvate decarboxylase	360	No
alt_F1F0_F1_bet	TIGR03305.1	alternate F1F0 ATPase, F1 subunit beta (Provisional)	449	No
altF1_A	TIGR03306.1	alternate F1F0 ATPase, F0 subunit A (Provisional)	217	No
phn_thr-fam	TIGR03308.1	phosphonate metabolim protein, transferase hexapeptide repeat family (Provisional)	204	No
ygfZ_signature	TIGR03317.1	folate-binding protein YgfZ (Provisional)	67	No
alt_F1F0_F0_B	TIGR03321.1	alternate F1F0 ATPase, F0 subunit B (Provisional)	246	No
alt_F1F0_F0_C	TIGR03322.1	alternate F1F0 ATPase, F0 subunit C (Provisional)	86	No
alt_F1F0_F1_gam	TIGR03323.1	alternate F1F0 ATPase, F1 subunit gamma (Provisional)	285	No
alt_F1F0_F1_al	TIGR03324.1	alternate F1F0 ATPase, F1 subunit alpha	497	No
rubisco_III	TIGR03326.1	type III ribulose-bisphosphate carboxylase	426	No
salvage_mtnB	TIGR03328.1	methylthioribulose 1-phosphate dehydratase	194	No
SAM_DCase_Bsu	TIGR03330.1	adenosylmethionine decarboxylase	112	No
IOR_beta	TIGR03334.1	indolepyruvate ferredoxin oxidoreductase subunit beta	189	No
IOR_alpha	TIGR03336.1	indolepyruvate ferredoxin oxidoreductase subunit alpha	595	No
chaperone_ClpB	TIGR03346.1	ATP-dependent chaperone ClpB	853	No
queuosine_QueD	TIGR03367.1	6-carboxytetrahydropterin synthase QueD	92	No
GC_trans_RRR	TIGR03382.1	Myxococcales GC_trans_RRR domain (Provisional)	27	No
urate_oxi	TIGR03383.1	urate oxidase	283	No
RNA_3prim_cycl	TIGR03399.1	RNA 3'-terminal phosphate cyclase	326	No
FeS_nifS	TIGR03402.1	cysteine desulfurase NifS	379	No
bicupin_oxalic	TIGR03404.1	bicupin, oxalate decarboxylase family (Provisional)	367	No
urea_ABC_UrtA	TIGR03407.1	urea ABC transporter substrate-binding protein	361	No
urea_trans_UrtE	TIGR03410.1	urea ABC transporter ATP-binding subunit UrtE	230	No
NifU_clost	TIGR03419.1	Fe-S cluster assembly scaffold protein NifU	121	No
egtD_ergothio	TIGR03438.1	L-histidine N(alpha)-methyltransferase	301	No
methyl_EasF	TIGR03439.1	EasF family methyltransferase	321	No
egtB_TIGR03440	TIGR03440.2	ergothioneine biosynthesis protein EgtB	413	No
HisG_C-term	TIGR03455.1	ATP phosphoribosyltransferase, C-terminal domain (Provisional)	100	No
sulphoacet_xsc	TIGR03457.1	sulfoacetaldehyde acetyltransferase	579	No
crt_membr_arch	TIGR03460.1	carotene biosynthesis associated membrane protein (Provisional)	248	No
CarR_dom_SF	TIGR03462.1	lycopene cyclase domain-containing protein	89	No
DMSO_red_II_gam	TIGR03477.1	DMSO reductase family type II enzyme, heme b subunit (Provisional)	206	No
DMSO_red_II_bet	TIGR03478.1	DMSO reductase family type II enzyme, iron-sulfur subunit (Provisional)	321	No
DMSO_red_II_alp	TIGR03479.1	DMSO reductase family type II enzyme, molybdopterin subunit (Provisional)	913	No
DMSO_red_II_cha	TIGR03482.1	DMSO reductase family type II enzyme chaperone (Provisional)	197	No
TIGR03491	TIGR03491.1	TM0106 family RecB-like putative nuclease	462	No
XapX	TIGR03510.1	XapX domain-containing protein	49	No
DapC_direct	TIGR03540.1	LL-diaminopimelate aminotransferase	383	No
DAPAT_plant	TIGR03542.1	LL-diaminopimelate aminotransferase	402	No
F420_cofG	TIGR03550.1	7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase CofG	322	No
F420_cofH	TIGR03551.1	5-amino-6-(D-ribitylamino)uracil--L-tyrosine 4-hydroxyphenyl transferase CofH	345	No
F420_cofC	TIGR03552.1	2-phospho-L-lactate guanylyltransferase	196	No
F420_G6P_family	TIGR03557.1	TIGR03557 family F420-dependent LLM class oxidoreductase	316	No
oxido_grp_1	TIGR03558.1	MsnO8 family LLM class oxidoreductase	325	No
F420_Rv1855c	TIGR03560.1	TIGR03560 family F420-dependent LLM class oxidoreductase	227	No
osmo_induc_OsmC	TIGR03562.1	OsmC family peroxiredoxin	137	No
NeuC_NnaA	TIGR03568.1	UDP-N-acetylglucosamine 2-epimerase	365	No
NeuB_NnaB	TIGR03569.1	N-acetylneuraminate synthase	329	No
NeuD_NnaD	TIGR03570.1	NeuD/PglB/VioB family sugar acetyltransferase	202	No
lucif_BA3436	TIGR03571.1	TIGR03571 family LLM class oxidoreductase	304	No
WbuX	TIGR03573.1	N-acetyl sugar amidotransferase	344	No
PseF	TIGR03584.1	pseudaminic acid cytidylyltransferase	222	No
PseH	TIGR03585.1	UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine N-acetyltransferase	156	No
PseI	TIGR03586.1	pseudaminic acid synthase	327	No
Pse_Me-ase	TIGR03587.1	pseudaminic acid biosynthesis-associated methylase (Provisional)	204	No
PseC	TIGR03588.1	UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine transaminase	380	No
PseB	TIGR03589.1	UDP-N-acetylglucosamine 4,6-dehydratase (inverting)	324	No
PseG	TIGR03590.1	UDP-2,4-diacetamido-2,4,6-trideoxy-beta-L-altropyranose hydrolase	280	No
TOMM_cyclo_SagD	TIGR03604.1	thiazole/oxazole-forming peptide maturase, SagD family component (Provisional)	377	No
antibiot_sagB	TIGR03605.1	SagB family peptide dehydrogenase	173	No
S_layer_CsaB	TIGR03609.1	polysaccharide pyruvyl transferase CsaB	301	No
F420_MSMEG_2256	TIGR03617.1	TIGR03617 family F420-dependent LLM class oxidoreductase	318	No
Rv1155_F420	TIGR03618.1	TIGR03618 family F420-dependent PPOX class oxidoreductase	127	No
F420_Rv2161c	TIGR03619.1	TIGR03619 family F420-dependent LLM class oxidoreductase	247	No
TIGR03624	TIGR03624.1	putative hydrolase (Provisional)	346	No
uS17_arch	TIGR03630.1	30S ribosomal protein S17	102	No
uL23_arch	TIGR03636.1	50S ribosomal protein L23	77	No
cas1_ECOLI	TIGR03638.1	type I-E CRISPR-associated endonuclease Cas1e	269	No
cas1_DVULG	TIGR03640.1	type I-C CRISPR-associated endonuclease Cas1c	340	No
cas1_HMARI	TIGR03641.1	type I-B CRISPR-associated endonuclease Cas1b	324	No
cas_csx14	TIGR03642.1	CRISPR-associated protein Csx14	124	No
Na_symport_sm	TIGR03647.1	putative solute:sodium symporter small subunit (Provisional)	77	No
Na_symport_lg	TIGR03648.1	VC_2705 family sodium/solute symporter	547	No
T1SS_VCA0849	TIGR03661.1	type I secretion C-terminal target domain-containing protein	91	No
Chlor_Arch_YYY	TIGR03662.1	chlor_Arch_YYY domain (Provisional)	727	No
TIGR03663	TIGR03663.1	TIGR03663 family protein	435	No
fut_nucase	TIGR03664.1	futalosine hydrolase	228	No
Rv2061_F420	TIGR03666.1	PPOX class F420-dependent oxidoreductase	132	No
Rv0121_F420	TIGR03668.1	TIGR03668 family PPOX class F420-dependent oxidoreductase	141	No
urea_ABC_arch	TIGR03669.1	urea ABC transporter substrate-binding protein	375	No
ribo_P1_arch	TIGR03685.1	50S ribosomal protein P1	105	No
Rhs_assc_core	TIGR03696.1	RHS repeat-associated core domain (Provisional)	76	No
clan_AA_DTGF	TIGR03698.1	clan AA aspartic protease	107	No
menaquin_MqnC	TIGR03699.1	dehypoxanthine futalosine cyclase	342	No
mena_SCO4494	TIGR03700.1	aminofutalosine synthase MqnE	351	No
mena_SCO4490	TIGR03701.1	menaquinone biosynthesis decarboxylase	433	No
poly_P_kin	TIGR03705.1	polyphosphate kinase 1	673	No
PPK2_P_aer	TIGR03707.1	polyphosphate kinase 2	230	No
poly_P_AMP_trns	TIGR03708.1	polyphosphate:AMP phosphotransferase	493	No
PPK2_rel_1	TIGR03709.1	polyphosphate:nucleotide phosphotransferase, PPK2 family (Provisional)	264	No
OAFO_sf	TIGR03710.1	2-oxoacid:acceptor oxidoreductase subunit alpha	561	No
R_switched_Alx	TIGR03718.1	TerC/Alx family metal homeostasis membrane protein	303	No
tungstate_WtpA	TIGR03730.1	tungstate ABC transporter substrate-binding protein WtpA	275	No
blh_monoox	TIGR03753.1	beta-carotene 15,15'-dioxygenase, Brp/Blh family	260	No
RPA4764	TIGR03768.1	TIGR03768 family metallophosphoesterase	547	No
leader_NHLP	TIGR03793.1	NHLP leader peptide family RiPP precursor	77	No
NHLM_micro_ABC1	TIGR03796.1	NHLP family bacteriocin export ABC transporter peptidase/permease/ATPase subunit	710	No
NHLM_micro_ABC2	TIGR03797.1	NHLP bacteriocin export ABC transporter permease/ATPase subunit	686	No
leader_Nif11	TIGR03798.1	Nif11-like leader peptide family RiPP precursor	68	No
PLP_synth_Pdx2	TIGR03800.1	pyridoxal 5'-phosphate synthase glutaminase subunit PdxT	184	No
asp_4_decarbox	TIGR03801.1	aspartate 4-decarboxylase	521	No
para_beta_helix	TIGR03804.1	parallel beta-helix repeat protein	44	No
tyr_de_CO2_Arch	TIGR03812.1	tyrosine decarboxylase MfnA	375	No
lys_2_3_AblA	TIGR03820.1	lysine 2,3-aminomutase	417	No
GNAT_ablB	TIGR03827.1	putative beta-lysine N-acetyltransferase	266	No
pfkB	TIGR03828.1	1-phosphofructokinase	305	No
YgiT_finger	TIGR03831.1	YgiT-type zinc finger protein	46	No
TIGR03833	TIGR03833.1	YwbE family protein	62	No
F420_CPS_4043	TIGR03842.1	TIGR03842 family LLM class F420-dependent oxidoreductase	329	No
cysteate_syn	TIGR03844.1	cysteate synthase	398	No
sulfopyru_alph	TIGR03845.1	sulfopyruvate decarboxylase subunit alpha	160	No
sulfopy_beta	TIGR03846.1	sulfopyruvate decarboxylase subunit beta	182	No
NAD_NadX	TIGR03855.1	aspartate dehydrogenase	229	No
LLM_2I7G	TIGR03858.1	probable oxidoreductase, LLM family (Provisional)	337	No
PQQ_PqqD	TIGR03859.1	pyrroloquinoline quinone biosynthesis peptide chaperone PqqD	81	No
FMN_nitrolo	TIGR03860.1	NtaA/DmoA family FMN-dependent monooxygenase	422	No
flavo_PP4765	TIGR03862.1	TIGR03862 family flavoprotein	376	No
RNA_lig_partner	TIGR03875.1	RNA ligase partner protein	206	No
thermo_KaiC_1	TIGR03877.1	KaiC domain-containing protein	238	No
thermo_KaiC_2	TIGR03878.1	KaiC domain-containing protein	259	No
near_KaiC_dom	TIGR03879.1	probable regulatory domain (Provisional)	91	No
cyclo_dehyd_2	TIGR03882.1	TOMM precursor leader peptide-binding protein	164	No
DUF2342_F420	TIGR03883.1	uncharacterized protein, coenzyme F420 biosynthesis associated (Provisional)	346	No
flavin_revert	TIGR03885.1	TIGR03885 family FMN-dependent LLM class oxidoreductase	315	No
nitrile_beta	TIGR03888.1	nitrile hydratase subunit beta	226	No
nitrile_acc	TIGR03889.1	nitrile hydratase accessory protein	74	No
protease_PatA	TIGR03895.1	PatA/PatG family cyanobactin maturation protease	606	No
lanti_2_LanM	TIGR03897.1	type 2 lanthipeptide synthetase LanM	932	No
MYXO-CTERM	TIGR03901.2	MYXO-CTERM sorting domain-containing protein	34	No
SAM_YgiQ	TIGR03904.1	YgiQ family radical SAM protein	558	No
pyrrolys_PylC	TIGR03909.1	3-methylornithine--L-lysine ligase PylC	374	No
pyrrolys_PylB	TIGR03910.1	methylornithine synthase PylB	347	No
pyrrolys_PylD	TIGR03911.1	3-methylornithyl-N6-L-lysine dehydrogenase PylD	266	No
PylS_Nterm	TIGR03912.1	pyrrolysine--tRNA(Pyl) ligase small subunit	89	No
rSAM_link_UDG	TIGR03916.1	putative DNA modification/repair radical SAM protein	415	No
rSAM_HmdB	TIGR03957.1	5,10-methenyltetrahydromethanopterin hydrogenase cofactor biosynthesis protein HmdB	317	No
monoFe_hyd_HmdC	TIGR03958.1	5,10-methenyltetrahydromethanopterin hydrogenase cofactor biosynthesis protein HmdC	505	No
mycofact_rSAM	TIGR03962.1	mycofactocin radical SAM maturase	339	No
mycofact_creat	TIGR03964.1	mycofactocin biosynthesis peptidyl-dipeptidase MftE	228	No
mycofact_glyco	TIGR03965.1	mycofactocin biosynthesis glycosyltransferase MftF	467	No
mycofact_MftB	TIGR03967.1	mycofactocin biosynthesis chaperone MftB	81	No
mycofactocin	TIGR03969.1	mycofactocin precursor MftA	23	No
SDR_subfam_1	TIGR03971.1	mycofactocin-coupled SDR family oxidoreductase	271	No
rSAM_ocin_1	TIGR03975.1	RiPP maturation radical SAM C-methyltransferase	606	No
prismane_assoc	TIGR03980.1	hybrid cluster protein-associated redox disulfide domain (Provisional)	58	No
TIGR03984	TIGR03984.2	CRISPR-associated protein Csx19	170	No
TIGR03986	TIGR03986.1	TIGR03986 family CRISPR-associated RAMP protein	568	No
Arch_GlmM	TIGR03990.1	phosphoglucosamine mutase	444	No
alt_bact_glmU	TIGR03991.1	UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase (Provisional)	394	No
Arch_glmU	TIGR03992.1	UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase (Provisional)	393	No
target_X_rSAM	TIGR03995.1	CGCGG family rSAM-modified RiPP protein	84	No
thiol_BshB1	TIGR04001.1	bacillithiol biosynthesis deacetylase BshB1	226	No
B12_SAM_MJ_1487	TIGR04013.1	TIGR04013 family B12-binding domain/radical SAM domain-containing protein	382	No
LLM_DMSO2_sfnG	TIGR04021.1	dimethyl sulfone monooxygenase SfnG	350	No
PPOX_MSMEG_5819	TIGR04023.1	PPOX class F420-dependent oxidoreductase	115	No
tatD_link_rSAM	TIGR04038.1	TatD family nuclease-associated radical SAM protein	192	No
TIGR04053	TIGR04053.2	TIGR04053 family radical SAM/SPASM domain-containing protein	366	No
photo_TT_lyase	TIGR04070.1	spore photoproduct lyase	338	No
TIGR04076	TIGR04076.1	TIGR04076 family protein	91	No
rSAM_pep_methan	TIGR04083.1	TIGR04083 family peptide-modifying radical SAM enzyme	376	No
rSAM_more_4Fe4S	TIGR04085.1	SPASM domain-containing protein	93	No
cognate_SipW	TIGR04088.1	SipW-dependent-type signal peptide-containing protein	34	No
cas1_CYANO	TIGR04093.1	type I-D CRISPR-associated endonuclease Cas1d	334	No
cas_csx17	TIGR04113.1	type I-U CRISPR-associated protein Csx17	718	No
TIGR04141	TIGR04141.1	TIGR04141 family sporadically distributed protein	516	No
rSAM_cobopep	TIGR04163.1	peptide-modifying radical SAM enzyme CbpB	428	No
exo_archaeo	TIGR04178.1	exosortase/archaeosortase family protein	97	No
EDH_00030	TIGR04180.1	NAD-dependent 4,6-dehydratase LegB	297	No
NHT_00031	TIGR04181.1	LegC family aminotransferase	359	No
B12_SAM_Ta0216	TIGR04190.1	TIGR04190 family B12-binding domain/radical SAM domain protein	554	No
halo_sig_pep	TIGR04207.1	surface glycoprotein	30	No
choice_anch_A	TIGR04215.1	choice-of-anchor A family protein	255	No
RrgB_K2N_iso_D2	TIGR04226.1	isopeptide-forming domain-containing fimbrial protein	123	No
nitrous_NosZ_RR	TIGR04244.1	TAT-dependent nitrous-oxide reductase	627	No
nitrous_NosZ_Gp	TIGR04246.1	Sec-dependent nitrous-oxide reductase	578	No
NosD_copper_fam	TIGR04247.1	nitrous oxide reductase family maturation protein NosD	377	No
SCM_PqqD_rel	TIGR04248.1	SynChlorMet cassette protein ScmD	84	No
SCM_chp_ScmC	TIGR04249.1	SynChlorMet cassette protein ScmC	292	No
SCM_rSAM_ScmE	TIGR04250.1	SynChlorMet cassette radical SAM/SPASM protein ScmE	358	No
SCM_rSAM_ScmF	TIGR04251.1	SynChlorMet cassette radical SAM/SPASM protein ScmF	353	No
SCM_precur_ScmA	TIGR04252.1	SynChlorMet cassette protein ScmA	49	No
sporadTIGR04255	TIGR04255.1	TIGR04255 family protein	252	No
GxxExxY	TIGR04256.1	GxxExxY protein	116	No
rSAM_GlyRichRpt	TIGR04261.1	GRRM system radical SAM/SPASM domain protein	363	No
bac_cardiolipin	TIGR04265.1	cardiolipin synthase	483	No
mod_HExxH	TIGR04267.2	HEXXH motif-containing putative peptide modification protein	177	No
SAM_SPASM_FxsB	TIGR04269.1	FxsB family radical SAM/SPASM domain protein	363	No
Rama_corrin_act	TIGR04270.1	methylamine methyltransferase corrinoid protein reductive activase	534	No
cxxc_cxxc_Mbark	TIGR04272.1	CxxC-x17-CxxC domain (Provisional)	37	No
hypoxanDNAglyco	TIGR04274.1	DNA-deoxyinosine glycosylase	150	No
beta_prop_Msarc	TIGR04275.1	beta-propeller repeat protein	40	No
glyco_like_cofC	TIGR04282.1	TIGR04282 family arsenosugar biosynthesis glycosyltransferase	189	No
glyco_like_mftF	TIGR04283.1	TIGR04283 family arsenosugar biosynthesis glycosyltransferase	221	No
heavy_Cys	TIGR04289.1	eight-cysteine-cluster domain-containing protein	52	No
salvage_TenA	TIGR04306.1	thiaminase II	208	No
octaheme_Shew	TIGR04315.1	tetrathionate reductase family octaheme c-type cytochrome	440	No
W_rSAM_matur	TIGR04317.1	tungsten cofactor oxidoreductase radical SAM maturase	349	No
MTase_LIC12133	TIGR04325.1	methyltransferase, TIGR04325 family	234	No
cas4_PREFRAN	TIGR04328.1	type V CRISPR-associated protein Cas4	178	No
cas1_PREFRAN	TIGR04329.1	type V CRISPR-associated endonuclease Cas1	317	No
cas_Cpf1	TIGR04330.1	type V CRISPR-associated protein Cas12a/Cpf1	1288	No
o_ant_LIC12162	TIGR04331.1	LIC12162 family protein	585	No
AmmeMemoSam_A	TIGR04335.1	AmmeMemoRadiSam system protein A	175	No
AmmeMemoSam_B	TIGR04336.1	AmmeMemoRadiSam system protein B	270	No
AmmeMemoSam_rS	TIGR04337.1	AmmeMemoRadiSam system radical SAM enzyme	349	No
rSAM_ACGX	TIGR04340.1	radical SAM/SPASM domain protein, ACGX system	341	No
C_S_lyase_PatB	TIGR04350.1	PatB family C-S lyase	384	No
PqqD_rel_X	TIGR04353.1	HPr-rel-A system PqqD family peptide chaperone	74	No
amphi-Trp	TIGR04354.1	amphi-Trp domain-containing protein	67	No
